,Unnamed: 0,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
148,148,202005,1,0,6,2,1,0,13
149,149,201905,3,0,3,2,1,2,1676
150,150,201905,2,0,3,3,0,3,2289
151,151,202005,3,0,2,4,0,2,2527
152,152,201905,2,0,6,4,1,1,2980
153,153,202005,6,1,5,1,0,3,124
154,154,202105,8,0,0,2,0,1,2453
155,155,201905,13,0,3,0,0,0,237
156,156,202105,11,0,2,4,1,2,2678
157,157,201905,12,1,2,5,0,4,434
158,158,201905,0,1,4,1,1,4,52
159,159,202105,5,0,3,5,0,1,11131
160,160,201905,7,0,0,1,0,4,25
161,161,202005,4,1,5,2,0,1,871
162,162,202105,10,0,1,4,1,3,351
163,163,201905,0,0,2,3,1,0,571
164,164,202005,2,0,3,3,0,1,9278
165,165,202105,9,0,2,5,0,2,138
166,166,202005,8,0,3,4,0,2,2104
167,167,202105,3,0,6,4,0,4,118
168,168,202005,11,1,4,3,1,3,2408
169,169,202105,13,1,2,4,0,2,1705
170,170,202105,13,0,3,4,0,3,1864
171,171,202005,11,0,2,5,0,3,3100
172,172,202105,7,0,6,0,1,3,22
173,173,202105,2,0,0,2,1,4,1627
174,174,202105,0,1,2,4,1,4,110
175,175,201905,6,1,5,5,1,1,100
176,176,202005,6,1,0,5,0,4,16
177,177,201905,9,0,6,2,0,4,22
178,178,202105,3,0,3,1,1,3,457
179,179,202105,10,0,3,0,1,4,23
180,180,202105,12,0,1,0,0,0,84
181,181,201905,10,0,0,5,0,1,229
182,182,202105,8,1,5,2,1,3,926
183,183,201905,5,0,2,0,1,4,21
184,184,202005,7,1,6,4,0,2,282
185,185,202005,12,0,2,5,0,2,11908
186,186,202105,3,0,2,1,0,4,37
187,187,201905,1,0,0,5,0,3,36
188,188,201905,2,1,3,2,1,4,129
189,189,202005,6,1,0,2,1,2,64
190,190,201905,10,1,2,4,1,4,14
191,191,202105,0,0,2,3,0,1,1024
192,192,202005,4,0,0,5,1,0,301
193,193,202005,4,0,0,2,1,3,291
194,194,202005,12,1,5,1,1,0,161
195,195,201905,2,1,2,3,0,2,1086
196,196,202005,2,1,0,3,1,0,224
197,197,202005,3,0,6,0,1,0,31
198,198,202105,0,0,3,4,1,1,3834
199,199,202005,8,0,1,4,1,4,248
200,200,202105,11,0,1,5,1,1,4744
201,201,202005,8,1,5,4,1,1,1371
202,202,201905,4,1,4,4,1,0,179
203,203,202005,9,0,0,1,0,1,117
204,204,202005,6,1,6,2,0,1,170
205,205,201905,5,0,1,1,0,2,3116
206,206,202005,8,1,0,4,0,0,272
207,207,202005,5,1,5,1,1,2,1502
208,208,202105,6,0,3,1,1,2,270
209,209,202105,2,1,4,5,0,4,822
210,210,202105,2,1,5,0,0,4,143
211,211,201905,7,1,4,4,0,4,32
212,212,202005,9,0,1,1,1,4,52
213,213,202105,4,1,4,4,1,4,103
214,214,201905,12,0,2,5,1,3,1360
215,215,202105,8,1,2,0,1,1,76
216,216,201905,6,0,3,4,1,0,62
217,217,202005,7,0,6,0,1,2,58
218,218,201905,0,0,1,4,0,3,366
219,219,202105,13,1,2,4,1,0,266
220,220,202105,9,0,6,5,1,2,565
221,221,202005,4,0,6,3,1,4,45
222,222,202105,3,1,5,0,0,4,14
223,223,201905,10,0,1,0,1,2,71
224,224,202105,2,0,6,4,0,3,3927
225,225,202005,3,0,3,0,0,4,14
226,226,202105,7,1,2,2,1,4,29
227,227,202105,5,0,2,3,0,4,877
228,228,202105,9,0,2,5,0,1,143
229,229,202105,12,0,6,1,0,4,4831
230,230,201905,7,0,0,5,0,0,465
231,231,201905,3,1,4,0,0,2,122
232,232,202105,7,0,3,1,1,2,430
233,233,202105,12,1,5,0,0,4,1409
234,234,201905,5,0,2,1,1,0,450
235,235,202005,1,1,0,5,1,2,49
236,236,201905,3,0,1,0,0,1,211
237,237,201905,0,1,5,3,1,0,463
238,238,201905,6,1,4,2,1,2,138
239,239,202105,1,0,0,2,1,1,135
240,240,202105,7,0,3,5,0,2,1220
241,241,201905,8,1,3,3,0,0,180
242,242,201905,6,1,4,0,1,0,10
243,243,202105,5,0,1,0,1,1,659
244,244,202105,0,1,2,2,1,1,1026
245,245,202105,12,1,5,3,0,2,10977
246,246,202005,3,1,0,0,0,1,56
247,247,202105,2,0,3,0,1,4,191
248,248,202005,8,1,0,1,1,2,150
249,249,202005,2,1,0,4,0,0,352
250,250,202005,13,0,0,1,1,1,779
251,251,202005,2,1,5,5,0,1,5731
252,252,202105,6,1,5,3,1,4,46
253,253,202105,3,0,6,1,0,2,1339
254,254,201905,11,0,6,0,0,2,880
255,255,202105,0,1,2,5,0,0,294
256,256,202105,11,1,5,4,1,0,2595
257,257,202105,1,1,2,3,1,3,81
258,258,202005,11,0,1,0,0,4,122
259,259,202105,8,0,2,0,1,4,27
260,260,201905,13,0,0,1,1,0,248
261,261,202005,2,0,6,4,0,4,746
262,262,201905,7,0,1,5,0,2,674
263,263,202005,8,1,6,4,1,0,136
264,264,202005,3,0,1,2,1,0,195
265,265,202005,6,1,6,1,1,2,18
266,266,202005,5,0,3,0,1,2,577
267,267,201905,5,0,6,2,1,4,529
268,268,202105,6,1,5,0,0,4,11
269,269,202105,6,0,1,2,1,2,386
270,270,201905,13,0,3,0,0,1,367
271,271,202105,9,0,1,1,1,3,235
272,272,202005,7,1,0,4,0,4,11
273,273,202005,0,0,0,2,0,4,260
274,274,202105,6,1,4,0,1,1,47
275,275,202005,9,1,4,0,0,1,42
276,276,202005,3,1,5,0,1,1,99
277,277,202105,0,0,3,0,1,2,450
278,278,201905,13,1,5,3,0,0,914
279,279,202005,13,0,6,4,1,3,364
280,280,202005,6,1,4,5,1,0,121
281,281,202005,0,1,0,0,1,1,89
282,282,201905,4,1,4,4,1,3,161
283,283,201905,8,1,3,5,1,3,86
284,284,202105,7,1,5,0,1,2,82
285,285,201905,9,1,5,1,0,3,13
286,286,202105,1,0,3,4,0,2,225
287,287,201905,5,0,3,4,1,1,2239
288,288,202005,3,1,4,1,0,2,671
289,289,202005,7,1,0,3,0,4,7
290,290,202005,6,1,0,1,1,1,39
291,291,202105,8,0,3,0,0,1,551
292,292,201905,11,1,3,5,0,2,1997
293,293,201905,11,1,4,5,1,4,183
294,294,202005,0,1,6,1,0,3,43
295,295,202105,10,1,2,4,0,4,28
296,296,202005,5,1,0,4,0,3,640
297,297,202005,11,1,0,2,0,0,1226
298,298,202005,3,1,6,3,0,2,538
299,299,202005,8,0,3,1,1,2,932
300,300,201905,4,1,3,3,1,3,35
301,301,202105,0,0,3,4,0,4,280
302,302,202005,3,0,0,5,1,1,340
303,303,202105,8,0,1,3,0,0,1112
304,304,202105,11,0,2,5,1,0,1406
305,305,202005,6,0,6,1,1,0,41
306,306,201905,10,0,3,4,0,2,286
307,307,201905,8,1,5,4,0,4,86
308,308,202105,5,0,0,0,0,3,502
309,309,202105,10,0,0,0,0,4,11
310,310,201905,6,0,6,1,0,3,85
311,311,201905,2,0,1,2,0,2,6360
312,312,201905,8,0,6,3,0,1,1690
313,313,202005,0,1,0,3,1,4,51
314,314,202005,10,1,5,4,0,3,163
315,315,202105,2,0,2,4,0,3,2037
316,316,202105,6,1,2,0,1,0,22
317,317,202005,13,1,5,2,1,2,1046
318,318,202105,11,0,0,4,1,0,2071
319,319,202005,13,1,4,1,1,3,235
320,320,202005,0,0,0,5,0,1,1052
321,321,202105,13,0,2,3,0,2,1838
322,322,202005,8,0,1,2,1,4,343
323,323,201905,6,0,3,5,0,0,253
324,324,202105,9,0,0,0,0,3,10
325,325,201905,0,0,3,1,1,2,1394
326,326,201905,7,0,1,2,0,4,71
327,327,201905,8,0,6,2,1,1,1536
328,328,202005,2,0,3,5,1,3,1482
329,329,202105,13,1,4,0,0,0,462
330,330,202005,9,0,0,3,0,0,125
331,331,201905,7,0,2,0,0,2,73
332,332,201905,3,0,1,1,1,1,438
333,333,202105,4,1,5,1,1,4,44
334,334,202105,13,0,0,2,1,4,242
335,335,201905,13,1,4,0,1,0,68
336,336,201905,3,0,2,4,0,4,63
337,337,202105,11,1,4,1,0,3,2416
338,338,202105,4,1,5,1,1,2,401
339,339,201905,2,1,4,3,0,3,1385
340,340,202005,0,0,6,4,1,4,164
341,341,202005,6,0,2,1,1,2,154
342,342,202005,10,0,2,4,0,1,558
343,343,201905,6,0,3,2,0,2,367
344,344,202105,10,1,5,5,1,1,496
345,345,202005,12,1,4,5,0,4,2919
346,346,202105,3,0,3,2,0,1,3755
347,347,202005,1,1,6,5,0,0,3
348,348,201905,3,0,0,2,0,4,103
349,349,201905,2,0,0,1,0,0,918
350,350,202005,13,1,4,1,0,0,656
351,351,201905,3,1,4,0,0,1,137
352,352,202105,11,1,4,2,1,3,2784
353,353,201905,12,0,1,3,1,4,1035
354,354,202105,0,0,0,0,1,4,30
355,355,201905,9,0,6,3,0,0,96
356,356,202005,4,1,0,5,1,1,147
357,357,201905,3,1,5,0,1,2,80
358,358,202105,12,1,2,5,0,0,377
359,359,202005,7,0,1,1,1,2,293
360,360,202005,11,0,6,3,1,0,1563
361,361,202005,8,0,0,1,0,4,92
362,362,201905,1,0,0,4,0,2,85
363,363,202005,11,0,6,5,0,1,9675
364,364,201905,7,0,2,0,1,4,7
365,365,201905,5,1,5,5,1,0,350
366,366,202005,12,0,2,4,1,4,1458
367,367,202105,1,0,2,0,0,3,7
368,368,202105,3,1,2,4,1,3,253
369,369,202105,4,0,2,5,0,1,477
370,370,201905,7,1,2,5,1,3,22
371,371,202005,2,0,1,2,0,4,2378
372,372,202005,7,0,1,3,0,0,419
373,373,201905,7,1,5,1,1,4,13
374,374,201905,8,1,3,0,0,3,11
375,375,202105,11,1,4,3,0,0,7247
376,376,201905,12,0,6,0,0,0,92
377,377,202105,4,0,2,4,1,4,35
378,378,202005,8,0,2,0,0,4,38
379,379,202005,4,0,1,4,1,2,516
380,380,202105,11,1,4,5,1,1,6642
381,381,202105,6,1,2,5,0,0,251
382,382,201905,6,1,3,4,1,0,20
383,383,202105,12,1,4,0,0,4,1360
384,384,201905,10,0,0,3,0,1,432
385,385,202105,11,0,0,0,0,0,1168
386,386,202105,1,0,6,3,1,1,120
387,387,202005,10,1,4,1,0,1,144
388,388,202005,11,1,0,1,1,4,44
389,389,201905,5,1,3,5,0,4,76
390,390,201905,6,0,6,3,0,0,342
391,391,201905,4,0,3,1,0,3,47
392,392,201905,9,1,5,5,1,3,63
393,393,202005,8,0,2,0,0,3,134
394,394,202105,10,1,4,1,1,2,329
395,395,202105,7,0,2,3,0,1,1561
396,396,201905,8,0,2,0,0,0,139
397,397,201905,0,0,6,3,1,3,712
398,398,201905,7,1,3,0,0,0,21
399,399,201905,0,0,3,2,1,4,409
400,400,202005,12,0,6,0,0,4,790
401,401,202105,6,1,2,0,0,1,52
402,402,202105,6,0,0,5,0,2,501
403,403,202105,7,1,4,0,1,2,83
404,404,202005,2,1,6,2,1,2,1114
405,405,202105,5,1,4,5,0,1,9755
406,406,202105,6,1,5,1,0,4,54
407,407,202105,11,1,5,3,1,0,2532
408,408,202105,8,1,2,3,1,2,875
409,409,201905,7,0,1,5,0,4,48
410,410,202105,6,0,6,0,0,4,10
411,411,202105,10,1,2,5,0,2,254
412,412,202105,8,0,1,4,0,1,1958
413,413,202005,9,0,3,3,0,1,304
414,414,201905,0,1,2,3,1,3,127
415,415,202005,1,0,3,2,0,2,117
416,416,201905,0,0,1,5,0,4,66
417,417,202105,3,0,0,5,0,4,60
418,418,201905,0,1,2,2,1,3,150
419,419,201905,1,0,3,1,1,2,60
420,420,202005,5,0,6,1,0,2,3289
421,421,202105,11,1,2,0,0,2,648
422,422,202105,6,0,0,1,1,0,53
423,423,201905,7,1,4,0,1,3,12
424,424,202005,11,1,4,2,1,3,1989
425,425,202105,13,0,1,5,1,0,471
426,426,202105,9,0,3,4,1,2,953
427,427,202105,9,0,0,2,0,2,249
428,428,202105,10,1,2,5,1,1,321
429,429,201905,8,1,2,3,1,1,290
430,430,202105,11,1,2,3,0,3,2399
431,431,201905,3,0,2,1,1,2,605
432,432,202005,7,0,2,4,0,0,343
433,433,202105,10,0,3,4,0,3,376
434,434,202005,4,0,0,3,0,3,233
435,435,202105,8,0,6,3,0,0,1106
436,436,201905,2,1,2,2,1,3,385
437,437,202105,0,0,0,0,1,1,292
438,438,202105,10,0,3,3,1,1,1334
439,439,202005,7,1,4,5,1,1,1130
440,440,202005,1,0,3,1,0,4,7
441,441,202105,3,1,2,3,0,3,264
442,442,202005,13,0,3,1,1,0,256
443,443,202005,0,0,2,5,1,0,591
444,444,202005,4,0,2,5,0,3,220
445,445,202105,10,0,2,3,1,0,143
446,446,202105,7,1,5,4,0,2,939
447,447,202105,4,1,5,2,1,0,623
448,448,201905,5,1,2,1,1,1,297
449,449,202005,10,0,0,3,1,2,834
450,450,202005,1,0,0,0,1,2,30
451,451,202105,9,1,5,4,0,2,265
452,452,202105,5,1,4,4,1,4,1390
453,453,202005,11,1,6,5,1,1,1483
454,454,202005,2,0,1,1,0,1,4741
455,455,201905,12,1,2,2,0,3,1739
456,456,202005,11,0,3,2,0,4,810
457,457,202005,11,1,4,0,0,4,107
458,458,202105,3,0,0,2,1,1,747
459,459,202105,12,1,4,1,1,0,176
460,460,202005,6,0,1,4,1,1,289
461,461,201905,11,1,5,3,1,4,421
462,462,202005,2,0,1,1,0,0,1288
463,463,202005,1,0,1,1,1,2,174
464,464,202105,13,1,2,4,0,3,695
465,465,201905,7,0,0,5,1,2,491
466,466,202005,5,1,5,3,0,1,5145
467,467,202005,9,0,1,1,1,1,437
468,468,201905,4,0,2,5,0,0,314
469,469,201905,11,1,3,3,1,0,532
470,470,202105,8,0,0,1,1,4,225
471,471,202005,12,0,2,1,0,2,7313
472,472,202105,3,0,6,5,0,4,89
473,473,202105,5,0,3,4,0,4,2332
474,474,202105,13,0,6,0,1,0,116
475,475,202105,5,0,3,0,1,3,316
476,476,202105,11,0,6,2,1,1,6154
477,477,202105,7,0,0,4,1,4,30
478,478,202005,8,1,4,0,0,2,333
479,479,202005,13,0,6,2,0,0,1942
480,480,201905,13,1,2,0,0,3,24
481,481,201905,8,0,3,0,1,4,15
482,482,202105,13,0,1,3,1,2,1218
483,483,202105,8,1,5,0,1,1,194
484,484,201905,7,0,1,0,0,0,100
485,485,201905,4,0,1,2,0,2,559
486,486,202005,2,0,6,1,0,3,1575
487,487,201905,9,1,5,2,0,2,85
488,488,202005,9,1,4,2,1,4,65
489,489,201905,6,1,5,5,1,0,43
490,490,202105,8,0,1,3,1,0,467
491,491,202005,12,0,1,3,0,3,6707
492,492,201905,11,1,3,4,0,3,711
493,493,201905,13,0,0,2,0,0,2022
494,494,202005,4,0,1,3,0,1,938
495,495,201905,1,0,3,1,1,3,29
496,496,202005,3,1,5,4,1,3,448
497,497,201905,1,0,0,3,1,3,110
498,498,202005,5,1,4,3,1,2,3842
499,499,202105,11,0,3,4,1,4,951
500,500,202005,12,0,1,5,1,4,624
501,501,202005,10,1,0,5,0,0,59
502,502,202005,1,0,0,1,0,1,31
503,503,202005,9,0,1,3,1,1,971
504,504,201905,0,0,6,3,0,4,134
505,505,202005,6,1,6,3,1,0,31
506,506,201905,4,1,3,2,1,2,87
507,507,202105,10,0,1,5,1,2,683
508,508,202005,12,1,4,0,0,2,1343
509,509,202105,11,0,3,0,1,2,869
510,510,202105,5,1,2,2,0,2,3710
511,511,202005,9,1,5,0,1,1,135
512,512,202105,0,0,0,5,1,0,618
513,513,202005,1,0,3,1,0,1,25
