,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
94,202005,인테리어,휴일,화,F.22-02시,F,E.60대이상,38
95,201905,유아용품,평일,수,C.10-14시,F,C.4O대,652
96,201905,식료품,평일,금,B.06-10시,M,A.2O대,476
97,201905,패션,휴일,수,D.14-18시,F,B.3O대,2210
98,202005,패션,휴일,금,C.10-14시,M,E.60대이상,141
99,201905,인테리어,평일,화,C.10-14시,F,A.2O대,752
100,202105,차량정비_부품,휴일,수,D.14-18시,F,E.60대이상,19
101,201905,스포츠의류용품,휴일,일,F.22-02시,M,A.2O대,214
102,202005,패션,평일,목,C.10-14시,F,A.2O대,6984
103,202105,서적,평일,수,A.02-06시,F,B.3O대,92
104,201905,애완용품,휴일,토,F.22-02시,F,E.60대이상,17
105,202105,애완용품,평일,화,D.14-18시,F,B.3O대,789
106,202105,패션,평일,수,A.02-06시,F,E.60대이상,79
107,201905,패션,평일,금,B.06-10시,M,C.4O대,2127
108,201905,생활/사무용품,휴일,수,E.18-22시,M,E.60대이상,93
109,202005,골프용품,휴일,금,E.18-22시,M,D.5O대,26
110,201905,차량정비_부품,평일,월,D.14-18시,M,C.4O대,653
111,202005,식료품,평일,금,E.18-22시,M,B.3O대,2778
112,202105,화장품,평일,화,E.18-22시,M,B.3O대,1224
113,201905,서적,평일,금,B.06-10시,M,D.5O대,309
114,201905,취미용품,휴일,월,A.02-06시,M,B.3O대,21
115,202005,홈쇼핑,평일,금,D.14-18시,M,D.5O대,1749
116,202005,골프용품,평일,금,A.02-06시,F,A.2O대,3
117,202005,인테리어,평일,월,B.06-10시,F,D.5O대,403
118,201905,식료품,평일,목,A.02-06시,F,B.3O대,771
119,202005,차량정비_부품,휴일,일,E.18-22시,M,D.5O대,312
120,202005,인테리어,평일,월,C.10-14시,F,C.4O대,2573
121,202105,스포츠의류용품,휴일,수,A.02-06시,F,C.4O대,57
122,202105,유아용품,휴일,일,E.18-22시,M,B.3O대,1158
123,202105,가전,평일,수,D.14-18시,F,A.2O대,371
124,201905,식료품,휴일,토,F.22-02시,M,E.60대이상,112
125,202005,서적,휴일,화,E.18-22시,F,B.3O대,281
126,202105,홈쇼핑,휴일,토,D.14-18시,F,B.3O대,4545
127,202005,골프용품,휴일,금,A.02-06시,M,C.4O대,7
128,202105,화장품,휴일,수,C.10-14시,F,B.3O대,1869
129,202005,생활/사무용품,휴일,금,B.06-10시,F,E.60대이상,164
130,202005,가전,평일,금,C.10-14시,M,E.60대이상,307
131,201905,생활/사무용품,휴일,수,F.22-02시,F,A.2O대,407
132,201905,스포츠의류용품,휴일,수,C.10-14시,M,D.5O대,40
133,202005,패션,평일,수,D.14-18시,F,E.60대이상,982
134,201905,홈쇼핑,평일,화,F.22-02시,F,B.3O대,3606
135,202005,서적,평일,수,A.02-06시,F,C.4O대,242
136,202005,인테리어,휴일,토,B.06-10시,F,A.2O대,301
137,202105,차량정비_부품,휴일,토,C.10-14시,F,A.2O대,84
138,201905,생활/사무용품,평일,목,D.14-18시,F,B.3O대,6922
139,202005,홈쇼핑,휴일,일,D.14-18시,M,A.2O대,403
140,201905,차량정비_부품,휴일,월,E.18-22시,F,A.2O대,18
141,202005,패션,평일,목,A.02-06시,F,A.2O대,1225
142,201905,차량정비_부품,평일,수,F.22-02시,M,A.2O대,146
143,202005,차량정비_부품,평일,금,A.02-06시,F,D.5O대,9
144,202005,취미용품,휴일,화,F.22-02시,M,E.60대이상,8
145,202105,홈쇼핑,평일,금,C.10-14시,M,C.4O대,1816
146,202005,생활/사무용품,평일,목,A.02-06시,M,E.60대이상,102
147,201905,화장품,휴일,수,F.22-02시,F,C.4O대,440
148,202005,골프용품,평일,화,C.10-14시,M,A.2O대,13
149,201905,서적,평일,월,C.10-14시,M,C.4O대,1676
150,201905,생활/사무용품,평일,월,D.14-18시,F,D.5O대,2289
151,202005,서적,평일,수,E.18-22시,F,C.4O대,2527
152,201905,생활/사무용품,평일,화,E.18-22시,M,B.3O대,2980
153,202005,애완용품,휴일,토,B.06-10시,F,D.5O대,124
154,202105,인테리어,평일,금,C.10-14시,F,B.3O대,2453
155,201905,화장품,평일,월,A.02-06시,F,A.2O대,237
156,202105,패션,평일,수,E.18-22시,M,C.4O대,2678
157,201905,홈쇼핑,휴일,수,F.22-02시,F,E.60대이상,434
158,201905,가전,휴일,일,B.06-10시,M,E.60대이상,52
159,202105,식료품,평일,월,F.22-02시,F,B.3O대,11131
160,201905,유아용품,평일,금,B.06-10시,F,E.60대이상,25
161,202005,스포츠의류용품,휴일,토,C.10-14시,F,B.3O대,871
162,202105,취미용품,평일,목,E.18-22시,M,D.5O대,351
163,201905,가전,평일,수,D.14-18시,M,A.2O대,571
164,202005,생활/사무용품,평일,월,D.14-18시,F,B.3O대,9278
165,202105,차량정비_부품,평일,수,F.22-02시,F,C.4O대,138
166,202005,인테리어,평일,월,E.18-22시,F,C.4O대,2104
167,202105,서적,평일,화,E.18-22시,F,E.60대이상,118
168,202005,패션,휴일,일,D.14-18시,M,D.5O대,2408
169,202105,화장품,휴일,수,E.18-22시,F,C.4O대,1705
170,202105,화장품,평일,월,E.18-22시,F,D.5O대,1864
171,202005,패션,평일,수,F.22-02시,F,D.5O대,3100
172,202105,유아용품,평일,화,A.02-06시,M,D.5O대,22
173,202105,생활/사무용품,평일,금,C.10-14시,M,E.60대이상,1627
174,202105,가전,휴일,수,E.18-22시,M,E.60대이상,110
175,201905,애완용품,휴일,토,F.22-02시,M,B.3O대,100
176,202005,애완용품,휴일,금,F.22-02시,F,E.60대이상,16
177,201905,차량정비_부품,평일,화,C.10-14시,F,E.60대이상,22
178,202105,서적,평일,월,B.06-10시,M,D.5O대,457
179,202105,취미용품,평일,월,A.02-06시,M,E.60대이상,23
180,202105,홈쇼핑,평일,목,A.02-06시,F,A.2O대,84
181,201905,취미용품,평일,금,F.22-02시,F,B.3O대,229
182,202105,인테리어,휴일,토,C.10-14시,M,D.5O대,926
183,201905,식료품,평일,수,A.02-06시,M,E.60대이상,21
184,202005,유아용품,휴일,화,E.18-22시,F,C.4O대,282
185,202005,홈쇼핑,평일,수,F.22-02시,F,C.4O대,11908
186,202105,서적,평일,수,B.06-10시,F,E.60대이상,37
187,201905,골프용품,평일,금,F.22-02시,F,D.5O대,36
188,201905,생활/사무용품,휴일,월,C.10-14시,M,E.60대이상,129
189,202005,애완용품,휴일,금,C.10-14시,M,C.4O대,64
190,201905,취미용품,휴일,수,E.18-22시,M,E.60대이상,14
191,202105,가전,평일,수,D.14-18시,F,B.3O대,1024
192,202005,스포츠의류용품,평일,금,F.22-02시,M,A.2O대,301
193,202005,스포츠의류용품,평일,금,C.10-14시,M,D.5O대,291
