Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,40580.000000,40800.000000,40080.000000,40280.000000,35072.382813,21148850
2017-04-21,40480.000000,41400.000000,40480.000000,40760.000000,35490.335938,15130500
2017-04-24,41260.000000,41260.000000,40920.000000,41240.000000,35908.277344,8990150
2017-04-25,41460.000000,42740.000000,41320.000000,42700.000000,37179.515625,19299600
2017-04-26,42700.000000,42800.000000,42520.000000,42800.000000,37266.585938,14794800
2017-04-27,42700.000000,44520.000000,41960.000000,43840.000000,38172.132813,23032250
2017-04-28,45780.000000,45800.000000,44520.000000,44620.000000,38851.296875,22685700
2017-05-02,45500.000000,45500.000000,44760.000000,44900.000000,39095.097656,14068300
2017-05-04,45700.000000,45700.000000,44860.000000,45520.000000,39634.929688,13690100
2017-05-08,45520.000000,47020.000000,45340.000000,47020.000000,40941.011719,19582550
2017-05-10,46160.000000,47220.000000,45600.000000,45600.000000,39704.589844,23410950
2017-05-11,45420.000000,46180.000000,45220.000000,45500.000000,39617.523438,21277850
2017-05-12,45760.000000,46160.000000,45660.000000,45820.000000,39896.148438,9422900
2017-05-15,45620.000000,46280.000000,45620.000000,46100.000000,40139.941406,8001400
2017-05-16,46660.000000,46800.000000,46100.000000,46380.000000,40383.750000,8803750
2017-05-17,46120.000000,46640.000000,46100.000000,46340.000000,40348.925781,7424450
2017-05-18,45740.000000,46000.000000,45540.000000,45940.000000,40000.636719,11160350
2017-05-19,45640.000000,45780.000000,44720.000000,44720.000000,38938.359375,15762350
2017-05-22,45040.000000,45380.000000,44760.000000,45100.000000,39269.230469,17643550
2017-05-23,45400.000000,45580.000000,44900.000000,44920.000000,39112.500000,12607050
2017-05-24,44860.000000,45300.000000,44800.000000,44880.000000,39077.671875,8675400
2017-05-25,45160.000000,45680.000000,44800.000000,45680.000000,39774.253906,13044800
2017-05-26,45600.000000,46460.000000,45540.000000,46080.000000,40122.531250,13613650
2017-05-29,46220.000000,46400.000000,45380.000000,45620.000000,39722.003906,8739550
2017-05-30,45520.000000,45660.000000,44480.000000,44640.000000,38868.714844,12433600
2017-05-31,44580.000000,45020.000000,44400.000000,44700.000000,38920.949219,18669100
2017-06-01,44860.000000,44900.000000,44400.000000,44680.000000,38903.531250,9753500
2017-06-02,45060.000000,45960.000000,45000.000000,45960.000000,40018.042969,12488750
2017-06-05,46040.000000,46360.000000,45720.000000,45940.000000,40000.636719,7599400
2017-06-07,46500.000000,46500.000000,45240.000000,45300.000000,39443.375000,13729400
2017-06-08,45000.000000,45580.000000,45000.000000,45160.000000,39321.476563,13978750
2017-06-09,45680.000000,46440.000000,45600.000000,46100.000000,40139.941406,11732850
2017-06-12,45420.000000,45600.000000,45140.000000,45380.000000,39513.023438,10954300
2017-06-13,45140.000000,45620.000000,45140.000000,45400.000000,39530.453125,8624900
2017-06-14,45800.000000,46060.000000,45240.000000,45360.000000,39495.613281,10166700
2017-06-15,45680.000000,45920.000000,45180.000000,45680.000000,39774.253906,9657000
2017-06-16,45500.000000,45940.000000,45460.000000,45580.000000,39687.171875,17403450
