title,brand,percent,price
SAVAGE [미니 1집] [SYNK DIVE VER],AESPA(에스파),19%,16,300
ODDINARY [MINI ALBUM] [SCANNING/ MASK OFF VER] [일반반],STRAY KIDS(스트레이 키즈),19%,16,300
2021 WINTER SMTOWN: SMCU EXPRESS [RED VELVET],RED VELVET(레드벨벳),19%,13,400
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - DAYTIME PASS],NCT(엔시티),19%,13,400
2021 WINTER SMTOWN: SMCU EXPRESS [NCT - NIGHTTIME PASS],NCT(엔시티),19%,13,400
2021 WINTER SMTOWN: SMCU EXPRESS [SMTOWN VER],VARIOUS,19%,31,200
2021 WINTER SMTOWN: SMCU EXPRESS [AESPA],AESPA(에스파),19%,13,400
YOUNG-LUV.COM [미니 2집] [2종 중 랜덤 1종],STAYC(스테이씨),20%,19,300
AN ODE [정규 3집],SEVENTEEN(세븐틴),19%,17,100
SMILEY [미니 1집],YENA(최예나),19%,16,300
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),19%,17,800
HELLO FUTURE [정규 1집] [리패키지] [PHOTO BOOK VER],NCT DREAM(엔시티 드림),19%,17,800
혼돈의 장: FIGHT OR ESCAPE [TOGETHER VER],TXT(투모로우바이투게더),19%,11,000
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),18%,11,900
헹가래(HENG:GARAE) [미니 7집],SEVENTEEN(세븐틴),17%,14,900
혼돈의 장: FIGHT OR ESCAPE,TXT(투모로우바이투게더),19%,17,800
SAVAGE [미니 1집] [HALLUCINATION QUEST VER],AESPA(에스파),19%,17,800
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),20%,38,600
ATTACCA [미니 9집] [CARAT VER],SEVENTEEN(세븐틴),19%,8,900
FATAL LOVE [정규 3집],MONSTA X(몬스타엑스),20%,19,300
콸콸콸 [싱글 3집],미니마니,18%,11,900
GREY SUIT [미니 2집] [PHOTOBOOK VER],SUHO(수호),19%,16,300
GLITCH MODE [정규 2집] [DIGIPACK VER],NCT DREAM(엔시티 드림),19%,11,000
MEMEM [미니 3집] [M VER],PURPLE KISS(퍼플키스),19%,17,800
MEMEM [미니 3집] [2종 세트],PURPLE KISS(퍼플키스),19%,35,600
MEMEM [미니 3집] [MEME VER],PURPLE KISS(퍼플키스),19%,17,800
mis [EP] [한정반],JAEMAN(재만),19%,13,400
鳩集 C.J 2002 [정규 9집] [140G 화이트 컬러 LP],IM CHANGJUNG(임창정),19%,44,600
8집 THE SHIN SEUNG HUN [180G CLEAR LP],SHIN SEUNGHUN(신승훈),20%,46,000
4집 INVITATION [180G CLEAR RED LP],UHM JUNG HWA(엄정화),19%,25,000
같은자리 [정규 1집],LEE SEOKHOON(이석훈),19%,31,000
END THEORY FINAL EDITION [정규 6집] [리패키지],YOUNHA(윤하),19%,20,000
RAD,RAD MUSEUM(라드뮤지엄),17%,27,000
DIMENSION [미니 3집] [키트],김준수,20%,18,000
건강하세모 [EP],임세모,20%,24,000
DAYDREAM [정규 1집] [BEFORE THE DREAM VER],HIGHLIGHT(하이라이트),20%,24,000
DAYDREAM [정규 1집] [AFTER THE DREAM VER],HIGHLIGHT(하이라이트),20%,24,000
DAYDREAM [정규 1집] [IN THE DREAM VER],HIGHLIGHT(하이라이트),17%,72,000
DAYDREAM [정규 1집] [3종 세트],HIGHLIGHT(하이라이트),20%,18,000
THANK YOU [미니 6집],BRAVE GIRLS(브레이브걸스),20%,24,000
REAL LOVE [정규 2집] [FLORAL VER],OH MY GIRL(오마이걸),20%,24,000
REAL LOVE [정규 2집] [FRUITY VER],OH MY GIRL(오마이걸),19%,48,000
REAL LOVE [정규 2집] [2종 세트],OH MY GIRL(오마이걸),19%,22,000
COME AWAY WITH ME,박수진,19%,16,500
LILY, LILY [EP],권여름,19%,16,500
사계(SEASONS) [EP],건우,19%,17,500
시샘달 PART.1 [정규 1집],SWAN(수안),19%,22,000
사람 마음,김민성,20%,12,500
ABOUT [EP],ACHII(에이치),20%,24,000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [ORGEL VER] [미니 CD],RED VELVET(레드벨벳),19%,24,000
THE REVE FESTIVAL 2022: FEEL MY RHYTHM [REVE VER],RED VELVET(레드벨벳),19%,40,000
HISTORY OF KINGDOM: PART Ⅳ. DANN [2종 세트],KINGDOM(킹덤),19%,20,000
HISTORY OF KINGDOM: PART Ⅳ. DANN [SHADOW VER],KINGDOM(킹덤),19%,20,000
HISTORY OF KINGDOM: PART Ⅳ. DANN [GLORY VER],KINGDOM(킹덤),19%,22,000
PART.1: FIRST LOVE [미니 4집] [LOVE WITH RUI VER],WEI(위아이),19%,66,000
PART.1: FIRST LOVE [미니 4집] [3종 세트],WEI(위아이),19%,22,000
PART.1: FIRST LOVE [미니 4집] [FALLING IN LOVE VER],WEI(위아이),19%,22,000
PART.1: FIRST LOVE [미니 4집],WEI(위아이),19%,44,000
DIMENSION [미니 3집] [2종 세트],김준수,19%,22,000
DIMENSION [미니 3집] [I VER],김준수,18%,22,000
DIMENSION [미니 3집] [O VER],김준수,19%,17,500
KOREAN BREATH: 만파 [萬波],SE:UM(세움),19%,23,000
NEEDLE & BUBBLE [THE BEST ALBUM],NU`EST(뉴이스트),19%,22,000
GLITCH MODE [정규 2집] [PHOTOBOOK VER],NCT DREAM(엔시티 드림),19%,44,000
容: FACE [미니 1집] [2종 세트],SOLAR(솔라),20%,22,000
容: FACE [미니 1집] [FACE VER],SOLAR(솔라),19%,16,500
LOVE IN BLOOM,ILY:1(아일리원),19%,22,000
容: FACE [미니 1집] [PERSONA VER],SOLAR(솔라),20%,55,000
CONSPIRACY [베이비 핑크 180G LP],COMMON GROUND(커먼그라운드),20%,19,500
ALWAYS HERE,SHINJI(신지),19%,13,000
PLAY GAME: AWAKE [PLATFORM ALBUM VER] [싱글 1집],WEEEKLY(위클리),19%,23,000
I NEVER DIE [정규 1집] [3종 중 랜덤 1종],(G)I-DLE((여자)아이들),19%,69,000
I NEVER DIE [정규 1집] [3종 세트],(G)I-DLE((여자)아이들),19%,55,000
BEST [180G LP],이정선,20%,80,000
GO! BOOGIE! [180G LP],TURTLES(거북이),19%,19,300
BEST 20 [USB],박창근,19%,17,800
BEST 20,박창근,20%,17,800
REVE [3RD DESIRE] [BIBBIDI VER],김우석,20%,38,600
REVE [3RD DESIRE] [BOBBIDI VER],김우석,20%,19,300
REFUGE [미니 2집] [2종 세트],문빈 & 산하(ASTRO),19%,19,300
REVE [3RD DESIRE] [키트],김우석,18%,16,300
REFUGE [미니 2집] [2종 중 랜덤 1종],문빈 & 산하(ASTRO),19%,11,900
공중부양 [EP],장기하,19%,26,800
FIRST LETTER [미니 1집],솔지,19%,13,400
Play Game: AWAKE [싱글 1집] [2종 세트],WEEEKLY(위클리),20%,13,400
Play Game: AWAKE [싱글 1집] [Real Self VER],WEEEKLY(위클리),20%,15,600
Play Game: AWAKE [싱글 1집] [Myself VER],WEEEKLY(위클리),20%,31,200
CHERRY WISH [미니 2집] [2종 중 랜덤 1종],CHERRY BULLET(체리블렛),19%,15,600
CHERRY WISH [미니 2집] [2종 세트],CHERRY BULLET(체리블렛),19%,19%
YELLOW PUNCH [미니 4집],ROCKET PUNCH(로켓펀치),19%,19%
스테레오힛트총결산: 참사랑/빗속의 연가 [180G 그린 LP],김상희,17%,19%
