CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
201905,2,휴일,수,D.14-18시,F,B.3O대," 2,210 ",,,
202005,2,휴일,금,C.10-14시,M,E.60대이상, 141 ,,,
201905,1,평일,화,C.10-14시,F,A.2O대, 752 ,,,
202105,1,휴일,수,D.14-18시,F,E.60대이상, 19 ,,,
201905,2,휴일,일,F.22-02시,M,A.2O대, 214 ,,,
202005,2,평일,목,C.10-14시,F,A.2O대," 6,984 ",,,
202105,1,평일,수,A.02-06시,F,B.3O대, 92 ,,,
201905,3,휴일,토,F.22-02시,F,E.60대이상, 17 ,,,
202105,3,평일,화,D.14-18시,F,B.3O대, 789 ,,,
202105,2,평일,수,A.02-06시,F,E.60대이상, 79 ,,,
201905,2,평일,금,B.06-10시,M,C.4O대," 2,127 ",,,
201905,1,휴일,수,E.18-22시,M,E.60대이상, 93 ,,,
202005,1,휴일,금,E.18-22시,M,D.5O대, 26 ,,,
201905,1,평일,월,D.14-18시,M,C.4O대, 653 ,,,
202005,4,평일,금,E.18-22시,M,B.3O대," 2,778 ",,,
202105,2,평일,화,E.18-22시,M,B.3O대," 1,224 ",,,
201905,1,평일,금,B.06-10시,M,D.5O대, 309 ,,,
201905,1,휴일,월,A.02-06시,M,B.3O대, 21 ,,,
202005,1,평일,금,A.02-06시,F,A.2O대, 3 ,,,
202005,1,평일,월,B.06-10시,F,D.5O대, 403 ,,,
201905,4,평일,목,A.02-06시,F,B.3O대, 771 ,,,
202005,1,휴일,일,E.18-22시,M,D.5O대, 312 ,,,
202005,1,평일,월,C.10-14시,F,C.4O대," 2,573 ",,,
202105,2,휴일,수,A.02-06시,F,C.4O대, 57 ,,,
202105,1,휴일,일,E.18-22시,M,B.3O대," 1,158 ",,,
202105,1,평일,수,D.14-18시,F,A.2O대, 371 ,,,
201905,4,휴일,토,F.22-02시,M,E.60대이상, 112 ,,,
202005,1,휴일,화,E.18-22시,F,B.3O대, 281 ,,,
202005,1,휴일,금,A.02-06시,M,C.4O대, 7 ,,,
202105,2,휴일,수,C.10-14시,F,B.3O대," 1,869 ",,,
202005,1,휴일,금,B.06-10시,F,E.60대이상, 164 ,,,
202005,1,평일,금,C.10-14시,M,E.60대이상, 307 ,,,
201905,1,휴일,수,F.22-02시,F,A.2O대, 407 ,,,
201905,2,휴일,수,C.10-14시,M,D.5O대, 40 ,,,
202005,2,평일,수,D.14-18시,F,E.60대이상, 982 ,,,
202005,1,평일,수,A.02-06시,F,C.4O대, 242 ,,,
202005,1,휴일,토,B.06-10시,F,A.2O대, 301 ,,,
202105,1,휴일,토,C.10-14시,F,A.2O대, 84 ,,,
201905,1,평일,목,D.14-18시,F,B.3O대," 6,922 ",,,
201905,1,휴일,월,E.18-22시,F,A.2O대, 18 ,,,
202005,2,평일,목,A.02-06시,F,A.2O대," 1,225 ",,,
201905,1,평일,수,F.22-02시,M,A.2O대, 146 ,,,
202005,1,평일,금,A.02-06시,F,D.5O대, 9 ,,,
202005,1,휴일,화,F.22-02시,M,E.60대이상, 8 ,,,
202005,1,평일,목,A.02-06시,M,E.60대이상, 102 ,,,
201905,2,휴일,수,F.22-02시,F,C.4O대, 440 ,,,
202005,1,평일,화,C.10-14시,M,A.2O대, 13 ,,,
201905,1,평일,월,C.10-14시,M,C.4O대," 1,676 ",,,
201905,1,평일,월,D.14-18시,F,D.5O대," 2,289 ",,,
202005,1,평일,수,E.18-22시,F,C.4O대," 2,527 ",,,
201905,1,평일,화,E.18-22시,M,B.3O대," 2,980 ",,,
202005,3,휴일,토,B.06-10시,F,D.5O대, 124 ,,,
202105,1,평일,금,C.10-14시,F,B.3O대," 2,453 ",,,
201905,2,평일,월,A.02-06시,F,A.2O대, 237 ,,,
202105,2,평일,수,E.18-22시,M,C.4O대," 2,678 ",,,
201905,1,휴일,일,B.06-10시,M,E.60대이상, 52 ,,,
202105,4,평일,월,F.22-02시,F,B.3O대," 11,131 ",,,
201905,1,평일,금,B.06-10시,F,E.60대이상, 25 ,,,
202005,2,휴일,토,C.10-14시,F,B.3O대, 871 ,,,
202105,1,평일,목,E.18-22시,M,D.5O대, 351 ,,,
201905,1,평일,수,D.14-18시,M,A.2O대, 571 ,,,
202005,1,평일,월,D.14-18시,F,B.3O대," 9,278 ",,,
202105,1,평일,수,F.22-02시,F,C.4O대, 138 ,,,
202005,1,평일,월,E.18-22시,F,C.4O대," 2,104 ",,,
202105,1,평일,화,E.18-22시,F,E.60대이상, 118 ,,,
202005,2,휴일,일,D.14-18시,M,D.5O대," 2,408 ",,,
202105,2,휴일,수,E.18-22시,F,C.4O대," 1,705 ",,,
202105,2,평일,월,E.18-22시,F,D.5O대," 1,864 ",,,
202005,2,평일,수,F.22-02시,F,D.5O대," 3,100 ",,,
202105,1,평일,화,A.02-06시,M,D.5O대, 22 ,,,
202105,1,평일,금,C.10-14시,M,E.60대이상," 1,627 ",,,
202105,1,휴일,수,E.18-22시,M,E.60대이상, 110 ,,,
201905,3,휴일,토,F.22-02시,M,B.3O대, 100 ,,,
202005,3,휴일,금,F.22-02시,F,E.60대이상, 16 ,,,
201905,1,평일,화,C.10-14시,F,E.60대이상, 22 ,,,
202105,1,평일,월,B.06-10시,M,D.5O대, 457 ,,,
202105,1,평일,월,A.02-06시,M,E.60대이상, 23 ,,,
201905,1,평일,금,F.22-02시,F,B.3O대, 229 ,,,
202105,1,휴일,토,C.10-14시,M,D.5O대, 926 ,,,
201905,4,평일,수,A.02-06시,M,E.60대이상, 21 ,,,
202005,1,휴일,화,E.18-22시,F,C.4O대, 282 ,,,
202105,1,평일,수,B.06-10시,F,E.60대이상, 37 ,,,
201905,1,평일,금,F.22-02시,F,D.5O대, 36 ,,,
201905,1,휴일,월,C.10-14시,M,E.60대이상, 129 ,,,
202005,3,휴일,금,C.10-14시,M,C.4O대, 64 ,,,
201905,1,휴일,수,E.18-22시,M,E.60대이상, 14 ,,,
