,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
4942,2020.0,34020,1,1,6,4.0,0.0,210000.0,52500.0,4.0,2.0,21.0,1.0,6.0,"1,4,6","10,6,8","11,14,6",3,1.0,,,1.0,,1.0,,,,,,,,,,,34020,,,,,,,,,,,10,6,8,11,14,6,6.0,,,,,,,,,,,,,
4943,2020.0,35330,1,0,0,2.0,0.0,105000.0,81000.0,5.0,2.0,52.0,2.0,6.0,"1,2,8",1,"4,8,5",1,1.0,1.0,,,,,,1.0,,,,,,,,,35330,,,,,,,,,,,1,,,4,8,5,,,,,,,,,,,,,,
4944,2020.0,34050,1,0,0,3.0,1.0,168000.0,106000.0,5.0,2.0,43.0,2.0,6.0,"1,6",1,"2,8,14",1,1.0,,,,,1.0,,,,,,,,,,,34050,,,,,,,,,,,1,,,2,8,14,,,,,,,,,,,,,,
4945,2020.0,34020,1,0,0,2.0,0.0,70000.0,57500.0,4.0,1.0,55.0,2.0,6.0,"1,2,6",1,"8,3,4",1,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,8,3,4,,,,,,,,,,,,,,
4946,2020.0,34030,1,1,2,2.0,0.0,306000.0,153000.0,5.0,1.0,34.0,2.0,6.0,"1,2,6",1,"14,5,1",3,1.0,1.0,,,,1.0,,,,,,,,,,,34030,,,,,,,,,,,1,,,14,5,1,2.0,,,,,,,,,,,,,
4947,2020.0,33040,1,0,0,3.0,0.0,31000.0,31000.0,5.0,1.0,24.0,2.0,6.0,"2,6",1,"1,4,5",3,,1.0,,,,1.0,,,,,,,,,,,33040,,,,,,,,,,,1,,,1,4,5,,,,,,,,,,,,,,
4948,2020.0,29010,1,0,0,3.0,1.0,70000.0,50000.0,4.0,2.0,35.0,2.0,6.0,"2,6,9",1,"3,5,2",1,,1.0,,,,1.0,,,1.0,,,,,,,,29010,,,,,,,,,,,1,,,3,5,2,,,,,,,,,,,,,,
4949,2020.0,35020,1,1,3,2.0,0.0,271000.0,144500.0,5.0,2.0,24.0,2.0,6.0,"1,2,3,6",1,"10,3,1",3,1.0,1.0,1.0,,,1.0,,,,,,,,,,,35020,,,,,,,,,,,1,,,10,3,1,3.0,,,,,,,,,,,,,
4950,2020.0,34020,1,0,0,2.0,0.0,42000.0,37000.0,4.0,1.0,28.0,3.0,6.0,"2,6",1,"4,3,14",3,,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,4,3,14,,,,,,,,,,,,,,
4951,2020.0,"35380,35380",2,1,3,3.0,1.0,488999.0,198333.0,4.0,2.0,37.0,3.0,6.0,"1,2,4,6,16",1,"2,1,4",1,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,35380,35380,,,,,,,,,,1,,,2,1,4,3.0,,,,,,,,,,,,,
4952,2020.0,34060,1,0,0,4.0,0.0,51000.0,39750.0,4.0,2.0,55.0,3.0,6.0,"1,2,6",1,"11,8",3,1.0,1.0,,,,1.0,,,,,,,,,,,34060,,,,,,,,,,,1,,,11,8,,,,,,,,,,,,,,,
4953,2020.0,35330,1,2,6,2.0,0.0,268000.0,134000.0,4.0,1.0,26.0,8.0,6.0,"1,6",1,"3,4,5",3,1.0,,,,,1.0,,,,,,,,,,,35330,,,,,,,,,,,1,,,3,4,5,6.0,6.0,,,,,,,,,,,,
4954,2020.0,34340,1,0,0,4.0,0.0,297000.0,74250.0,4.0,2.0,22.0,8.0,6.0,"1,6",1,"14,5,1",3,1.0,,,,,1.0,,,,,,,,,,,34340,,,,,,,,,,,1,,,14,5,1,,,,,,,,,,,,,,
4955,2020.0,33040,1,0,0,3.0,0.0,57401.0,42467.0,5.0,1.0,31.0,4.0,6.0,"1,6",1,"1,2,5",4,1.0,,,,,1.0,,,,,,,,,,,33040,,,,,,,,,,,1,,,1,2,5,,,,,,,,,,,,,,
4956,2020.0,29010,1,0,0,3.0,0.0,90001.0,66667.0,4.0,2.0,47.0,4.0,6.0,"1,2,6",1,"1,9,2",1,1.0,1.0,,,,1.0,,,,,,,,,,,29010,,,,,,,,,,,1,,,1,9,2,,,,,,,,,,,,,,
4957,2020.0,34020,1,0,0,2.0,0.0,38000.0,38000.0,5.0,2.0,35.0,4.0,6.0,"1,2",1,4,3,1.0,1.0,,,,,,,,,,,,,,,34020,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,,,
4958,2020.0,"39010,39010,39020,39020,39020,39020,39020,39020",8,2,"4,4",3.0,0.0,741000.0,435000.0,5.0,2.0,27.0,5.0,6.0,"1,2,6,16","8,3,1","3,5,1",3,1.0,1.0,,,,1.0,,,,,,,,,1.0,,39010,39010,39020,39020,39020,39020,39020,39020,,,,8,3,1,3,5,1,4.0,4.0,,,,,,,,,,,,
4959,2020.0,34310,1,0,0,2.0,0.0,54500.0,47000.0,4.0,2.0,28.0,5.0,6.0,"1,2,6",1,"14,2,9",3,1.0,1.0,,,,1.0,,,,,,,,,,,34310,,,,,,,,,,,1,,,14,2,9,,,,,,,,,,,,,,
4960,2020.0,34020,1,0,0,3.0,1.0,73000.0,61000.0,5.0,1.0,34.0,5.0,6.0,"1,2,6",1,"1,4,8",1,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,1,4,8,,,,,,,,,,,,,,
4961,2020.0,34020,1,0,0,2.0,0.0,56000.0,51000.0,5.0,2.0,54.0,5.0,6.0,"1,2,6",1,"8,4,9",1,1.0,1.0,,,,1.0,,,,,,,,,,,34020,,,,,,,,,,,1,,,8,4,9,,,,,,,,,,,,,,
4962,2020.0,32310,1,1,4,3.0,0.0,445002.0,148334.0,5.0,2.0,24.0,9.0,6.0,"1,6,7",1,"2,11,6",4,1.0,,,,,1.0,1.0,,,,,,,,,,32310,,,,,,,,,,,1,,,2,11,6,4.0,,,,,,,,,,,,,
4963,2020.0,"33360,33360",2,0,0,3.0,0.0,69501.0,24167.0,4.0,2.0,53.0,10.0,6.0,"1,2",1,"4,2,14",1,1.0,1.0,,,,,,,,,,,,,,,33360,33360,,,,,,,,,,1,,,4,2,14,,,,,,,,,,,,,,
4964,2020.0,"32340,32060,32410,32030,32030",5,1,3,4.0,1.0,503000.0,125750.0,5.0,1.0,45.0,10.0,6.0,"1,2,6",1,"2,1,12",1,1.0,1.0,,,,1.0,,,,,,,,,,,32340,32060,32410,32030,32030,,,,,,,1,,,2,1,12,3.0,,,,,,,,,,,,,
4965,2020.0,"33340,33340",2,1,12,3.0,1.0,70002.0,23334.0,4.0,2.0,36.0,10.0,6.0,"1,2",1,"4,14",1,1.0,1.0,,,,,,,,,,,,,,,33340,33340,,,,,,,,,,1,,,4,14,,12.0,,,,,,,,,,,,,
4966,2020.0,35330,1,0,0,4.0,0.0,35000.0,35000.0,4.0,1.0,55.0,10.0,6.0,1,1,"2,1,14",3,1.0,,,,,,,,,,,,,,,,35330,,,,,,,,,,,1,,,2,1,14,,,,,,,,,,,,,,
4967,2020.0,"33040,33040,33040",3,2,"12,12",2.0,0.0,65000.0,45000.0,4.0,1.0,27.0,10.0,6.0,"1,2,8",1,"4,2,7",3,1.0,1.0,,,,,,1.0,,,,,,,,,33040,33040,33040,,,,,,,,,1,,,4,2,7,12.0,12.0,,,,,,,,,,,,
4968,2020.0,"33020,33020,33020,33020,33360,29010",6,"1,0",11,4.0,0.0,458000.0,114500.0,5.0,1.0,34.0,11.0,6.0,"1,2",1,"14,1,2",3,1.0,1.0,,,,,,,,,,,,,,,33020,33020,33020,33020,33360,29010,,,,,,1,,,14,1,2,11.0,0.0,,,,,,,,,,,,
4969,2020.0,"33330,33330",2,0,0,4.0,0.0,75000.0,18750.0,4.0,2.0,57.0,11.0,6.0,"1,2",1,"14,2,4",3,1.0,1.0,,,,,,,,,,,,,,,33330,33330,,,,,,,,,,1,,,14,2,4,,,,,,,,,,,,,,
4970,2020.0,"35040,33340,33340",3,"1,0",12,2.0,0.0,51000.0,25500.0,4.0,2.0,46.0,11.0,6.0,"1,2",1,"1,4,2",3,1.0,1.0,,,,,,,,,,,,,,,35040,33340,33340,,,,,,,,,1,,,1,4,2,12.0,0.0,,,,,,,,,,,,
