,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
139,201905,0,0,3,3,0,3,2289,,,
140,202005,0,0,2,4,0,2,2527,,,
141,201905,0,0,6,4,1,1,2980,,,
142,202005,2,1,5,1,0,3,124,,,
143,202105,0,0,0,2,0,1,2453,,,
144,201905,1,0,3,0,0,0,237,,,
145,202105,1,0,2,4,1,2,2678,,,
146,201905,0,1,4,1,1,4,52,,,
147,202105,3,0,3,5,0,1,11131,,,
148,201905,0,0,0,1,0,4,25,,,
149,202005,1,1,5,2,0,1,871,,,
150,202105,0,0,1,4,1,3,351,,,
151,201905,0,0,2,3,1,0,571,,,
152,202005,0,0,3,3,0,1,9278,,,
153,202105,0,0,2,5,0,2,138,,,
154,202005,0,0,3,4,0,2,2104,,,
155,202105,0,0,6,4,0,4,118,,,
156,202005,1,1,4,3,1,3,2408,,,
157,202105,1,1,2,4,0,2,1705,,,
158,202105,1,0,3,4,0,3,1864,,,
159,202005,1,0,2,5,0,3,3100,,,
160,202105,0,0,6,0,1,3,22,,,
161,202105,0,0,0,2,1,4,1627,,,
162,202105,0,1,2,4,1,4,110,,,
163,201905,2,1,5,5,1,1,100,,,
164,202005,2,1,0,5,0,4,16,,,
165,201905,0,0,6,2,0,4,22,,,
166,202105,0,0,3,1,1,3,457,,,
167,202105,0,0,3,0,1,4,23,,,
168,201905,0,0,0,5,0,1,229,,,
169,202105,0,1,5,2,1,3,926,,,
170,201905,3,0,2,0,1,4,21,,,
171,202005,0,1,6,4,0,2,282,,,
172,202105,0,0,2,1,0,4,37,,,
173,201905,0,0,0,5,0,3,36,,,
174,201905,0,1,3,2,1,4,129,,,
175,202005,2,1,0,2,1,2,64,,,
176,201905,0,1,2,4,1,4,14,,,
177,202105,0,0,2,3,0,1,1024,,,
178,202005,1,0,0,5,1,0,301,,,
179,202005,1,0,0,2,1,3,291,,,
180,201905,0,1,2,3,0,2,1086,,,
181,202005,0,1,0,3,1,0,224,,,
182,202005,0,0,6,0,1,0,31,,,
183,202105,0,0,3,4,1,1,3834,,,
184,202005,0,0,1,4,1,4,248,,,
185,202105,1,0,1,5,1,1,4744,,,
186,202005,0,1,5,4,1,1,1371,,,
187,201905,1,1,4,4,1,0,179,,,
188,202005,0,0,0,1,0,1,117,,,
189,202005,2,1,6,2,0,1,170,,,
190,201905,3,0,1,1,0,2,3116,,,
191,202005,0,1,0,4,0,0,272,,,
192,202005,3,1,5,1,1,2,1502,,,
193,202105,2,0,3,1,1,2,270,,,
194,202105,0,1,4,5,0,4,822,,,
195,202105,0,1,5,0,0,4,143,,,
196,201905,0,1,4,4,0,4,32,,,
197,202005,0,0,1,1,1,4,52,,,
198,202105,1,1,4,4,1,4,103,,,
199,202105,0,1,2,0,1,1,76,,,
200,201905,2,0,3,4,1,0,62,,,
201,202005,0,0,6,0,1,2,58,,,
202,201905,0,0,1,4,0,3,366,,,
203,202105,1,1,2,4,1,0,266,,,
204,202105,0,0,6,5,1,2,565,,,
205,202005,1,0,6,3,1,4,45,,,
206,202105,0,1,5,0,0,4,14,,,
207,201905,0,0,1,0,1,2,71,,,
208,202105,0,0,6,4,0,3,3927,,,
209,202005,0,0,3,0,0,4,14,,,
210,202105,0,1,2,2,1,4,29,,,
211,202105,3,0,2,3,0,4,877,,,
212,202105,0,0,2,5,0,1,143,,,
213,201905,0,0,0,5,0,0,465,,,
214,201905,0,1,4,0,0,2,122,,,
215,202105,0,0,3,1,1,2,430,,,
216,201905,3,0,2,1,1,0,450,,,
217,202005,0,1,0,5,1,2,49,,,
218,201905,0,0,1,0,0,1,211,,,
